title,location,Price,category
Henny's Wicked Chicken,Az Zarqa,40,"['American', 'Fried Chicken']"
Adan For Crepe & Waffle,Abū al Lasan,38,['Desserts']
DipIt,Ad Dimnah,44,"['Desserts', 'Crepes and Waffles']"
Arab Eagles Healthy Food,Madaba,99,['Jordanian']
Shawerma Al Basha,Al Kafrayn,30,"['Arabic', 'Shawarma & Doner', 'Sandwiches ']"
Brain Freeze,Al Maşţabah,89,['Beverages']
Centro,Umm al Kundum,94,"['International', 'Salads', 'Steaks']"
AG Restaurant,"Abdoun, Amman",89,"['Shawarma & Doner', 'Snacks', 'Sandwiches ']"
Khairat Al Haramen Mashawe,Umm Qays,68,['Grills']
Uncle Waffle,Umm Qays,58,"['Crepes and Waffles', 'Desserts', 'Beverages']"
Al-Bashaer Restaurant,Sowayma,33,"['Breakfast', 'Falafel']"
Alsunbolah Sweets,Bayyūḑah,65,['Desserts']
Fire Snack,Ad Dimnah,15,"['Burgers', 'Hot Dogs', 'Snacks']"
Rubu Al Hayi For Vegetables & Fruits,Al Burj,28,"['Speciality Store', 'Fruits & Vegetables']"
Robo3 Al Mamlakeh Butchery,Al Kafrayn,45,"['Speciality Store', 'Fresh Meat & Fish']"
Jabal Kanaan Sweets,Abū al Lasan,60,"['Desserts', 'Arabic']"
Adams Secrets,At-Tafilah,15,"['Arabic', 'Burgers', 'Pasta']"
W2GO,Umm Uthainah,51,"['Pizza', 'Sushi', 'Asian']"
Nabea Al Qaryoun Sweets,Abū al Lasan,47,['Desserts']
Paella King,Umm Uthainah,99,"['Seafood', 'Vegetarian', 'International']"
McCain Restaurant Broasted & Shawerma,Al Burj,20,"['Fried Chicken', 'Shawarma & Doner', 'Arabic']"
Chaos Coffee House,Aţ Ţayyibah,10,['Beverages']
azoumetna kitchen,Wadi Musa,41,"['Arabic', 'Lebanese']"
Fan w Bun,Irbid,73,"['Beverages', 'Crepes and Waffles']"
Sella for pastries and pizza,Bayyūḑah,10,"['Snacks', 'Pastries', 'Pizza']"
Choco Cheese,Al Burj,74,['Desserts']
Jaleela,Shūnat Nimrīn,96,"['Sandwiches ', 'Shawarma & Doner']"
Khirat Al Marj,Al Ḩayy,85,['Arabic']
Khalli 3aleena,Abū al Lasan,58,"['Falafel', 'Snacks', 'Jordanian']"
abu Arqoub Snack,Aqaba,46,"['Breakfast', 'Snacks', 'Sandwiches ']"
Dahab Shawarma & Snack,Dana,59,"['Sandwiches ', 'Shawarma & Doner']"
Nada Al Sham,Aqaba,53,"['Arabic', 'Snacks', 'Sandwiches ']"
Villaggio,Ash Shumaysānī,25,['Pizza']
Okazaki,Umm al Kundum,58,"['Sushi', 'Healthy', 'Japanese', 'Seafood']"
Abu Seir Sweets,Bayyūḑah,70,"['Arabic', 'Desserts', 'Jordanian']"
Sweet Heaven,Umm Qays,31,['Desserts']
Dana Restaurant,Al Qasţal,62,"['Arabic', 'Breakfast', 'Falafel']"
Foody Home Snack,At-Tafilah,96,"['Burgers', 'Sandwiches ', 'American']"
"Mickey's Burger,Abdoun",Al Qasţal,69,"['Burgers', 'Grills', 'Jordanian']"
Turkey Snack,Ajloun,98,"['Fast Food', 'Shawarma & Doner', 'Sandwiches ']"
Jwan & Ghala Chicken,Bayyūḑah,68,"['Fried Chicken', 'Grills', 'Sandwiches ']"
Original Waffle,Al Rama,53,"['Crepes and Waffles', 'Desserts']"
Fatayer Ala Alsaree,Ash Shūnah ash Shamālīyah,60,['Pastries']
Ocean Sushi,Ad Dimnah,63,"['Lebanese', 'Salads', 'Seafood']"
Pizza Moaajnat Al Zaman Al Jameel,Amman,88,"['Pizza', 'Breakfast']"
Hoor butchery,Kerak,77,"['Speciality Store', 'Fresh Meat & Fish']"
Turk Pure Water,Ash Shumaysānī,93,['Speciality Store']
Zibdyeh,Abū al Lasan,61,['Speciality Store']
Batata,Madaba,88,['Fast Food']
Eza Bedak Pastries,At-Tafilah,96,"['Pastries', 'Pizza', 'Breakfast', 'Manaqeesh']"
Al Tarboosh,Al Ḩayy,59,"['Breakfast', 'Pastries', 'Pizza']"
Hadaeq Al Sultan Sweets,Al Kafrayn,80,['Desserts']
Mashawi Alia,Al Burj,89,"['Grills', 'Arabic']"
Hekaya Restaurant,Wadi Rum,72,['Falafel']
El Cactus,Az Zarqa,53,"['International', 'Mexican', 'Jordanian']"
Jaw Zaman,Az Zarqa,24,"['Grills', 'Healthy', 'Sandwiches ']"
Hommosani Restaurant,Ad Dimnah,98,"['Breakfast', 'Falafel']"
Omaya Deserts,Wadi Rum,82,['Desserts']
Black Charcoal,Abū al Lasan,23,"['Burgers', 'Pizza', 'Sandwiches ']"
Al Hanini dahyet alyasmeen,Al Burj,18,"['Fried Chicken', 'Shawarma & Doner', 'Sandwiches ']"
Hardee's,Aqaba,60,"['Burgers', 'Desserts', 'Fast Food']"
Al-Amaneh Restaurant,Al Ḩayy,34,"['Jordanian', 'Shawarma & Doner', 'Steaks']"
Zmzm Sweets,Ad Dimnah,95,"['Desserts', 'Crepes and Waffles']"
Ata Ali Restaurant,Kerak,13,['Arabic']
Wildberry,Madaba,68,"['Breakfast', 'Juices', 'Desserts']"
V-Lounge,Kerak,34,['International']
"Al Fawal, Abdali",Aţ Ţayyibah,83,"['Breakfast', 'Falafel']"
Joudy and Jana Roastary,Al Azraq ash Shamālī,71,"['Speciality Store', 'Nuts & Dried Fruit']"
The Nub,Aţ Ţayyibah,51,"['Burgers', 'Salads']"
Qaser Al-Manasef,Dana,19,['Arabic']
Seed,Abū al Lasan,95,"['Healthy', 'Snacks', 'Beverages']"
LHM,Wadi Rum,83,"['American', 'Burgers', 'Grills']"
AquaJo,Umm Uthainah,56,['Speciality Store']
Gonan Kitchen,Dana,10,['Arabic']
Safwa Butchery,Al Ḩayy,52,"['Speciality Store', 'Fresh Meat & Fish']"
"Ahel Al Khair, Arjan",Ash Shumaysānī,65,"['Shawarma & Doner', 'Mandi', 'Burgers']"
Big Burger,Bayyūḑah,30,"['Burgers', 'Shawarma & Doner', 'Snacks']"
Jeet Bwa2tak,Umm al Kundum,78,"['Fried Chicken', 'Shawarma & Doner', 'Sandwiches ']"
Abood & Food,Al Azraq ash Shamālī,65,"['Burgers', 'Sandwiches ']"
Juice Truck,Al Quwayrah,80,['Juices']
Sevan City Mall,Ad Dimnah,66,"['Sandwiches ', 'Jordanian', 'Shawarma & Doner']"
Mamonieh,Az Zarqa,56,['Desserts']
Green Salon Sweets,Irbid,59,['Desserts']
AlRamleh - AbuSultan,Ţāb Kirā‘,55,"['Arabic', 'Breakfast', 'Falafel']"
Salama Restaurant,Umm Qays,45,"['Arabic', 'Breakfast', 'Falafel']"
Chili House Restaurant Dahiet Al Hussain,Wadi Musa,14,"['Burgers', 'Hot Dogs', 'American']"
Woks N Pots,Az Zarqa,35,"['Asian', 'Chinese', 'Indian']"
Abu Kamal Express Al Yasmin,At-Tafilah,51,['Shawarma & Doner']
Matbakh Shomokh Al Ordon,Ajloun,70,"['Arabic', 'Tawasi']"
Jaj W Saj,Umm Qays,92,"['Burgers', 'Grills', 'Shawarma & Doner']"
Yummy Yummy,Ash Shumaysānī,70,"['Burgers', 'Shawarma & Doner', 'Sandwiches ']"
Set Al Sham Kitchen,Al Burj,77,"['Pastries', 'Jordanian']"
Raw'et Al Hureya Pizza,Al Ḩayy,38,['Pizza']
FajitaMel,Kerak,72,"['Mexican', 'Salads', 'Desserts']"
Mansefha Pickles,Dana,53,['Speciality Store']
Fruitaccio,Irbid,14,['Juices']
Kabab & Wings,‘Ayn Amūn,41,['Grills']
BOMBASTIC,Al Rama,51,"['Pastries', 'Pizza']"
Jajeh w Nos Broasted,‘Ayn Amūn,48,['Fried Chicken']
Mr Panda Shawarma,Al Quwayrah,83,"['Shawarma & Doner', 'Snacks', 'Sandwiches ']"
Rice And Chicken,Abū al Lasan,29,"[' Kuwaiti', 'Salads', 'Mandi']"
Sugar OverDose,Ţāb Kirā‘,46,"['Desserts', 'Beverages', 'Crepes and Waffles']"
Sandwich Box,Ţāb Kirā‘,73,"['Sandwiches ', 'Beverages', 'Salads']"
Tabayekh Maraheb,Ţāb Kirā‘,22,"['Arabic', 'International']"
Farooj fe raghef,Shūnat Nimrīn,25,"['Grills', 'Sandwiches ']"
Shaikh El Fahem Lil Shawerma,Al Qasţal,57,"['Arabic', 'Grills', 'Sandwiches ']"
asmak al sultan,Al Kafrayn,39,['Seafood']
Zohour Al Swafiah Restaurant,Kufayrāt Abū Khīnan,72,['Grills']
SINIORA,Al Azraq ash Shamālī,81,['Speciality Store']
Izhiman Milles,Al Azraq ash Shamālī,51,"['Speciality Store', 'Nuts & Dried Fruit']"
Qasab Sokar And Amal Juice,Sowayma,42,['Juices']
Ta`3meeseh Falafel,Kufayrāt Abū Khīnan,67,"['Arabic', 'Falafel', 'Jordanian']"
Ezy Mart,Māḩiş,27,"['Grocery ', 'Convenience Store']"
Potato Fries,Ash Shumaysānī,45,['Fast Food']
Kunafeh 3al Hatab,Kufayrāt Abū Khīnan,47,['Desserts']
99 Grill - Marj Al Hamam,Kerak,86,"['American', 'Burgers', 'Grills']"
Ra`ahat Al Yasmeen,"Abdoun, Amman",78,"['Shawarma & Doner', 'Snacks']"
Shawerma Aljoud,Al Qasţal,59,"['Shawarma & Doner', 'Snacks', 'Grills']"
Jajeh w Nos Broasted,Al Burj,27,['Fried Chicken']
Al Matbakh Albaity,Al Maşţabah,60,['Arabic']
QAHA,Al Burj,100,['Beverages']
Shawrma Al Waleed,Al Maşţabah,40,"['Sandwiches ', 'Shawarma & Doner']"
Suhool Al Rabyieh,Al Ḩayy,54,"['Breakfast', 'Pizza']"
Pizza Box,Kerak,75,"['Arabic', 'Pastries', 'Pizza']"
Koshary Alahramat,Kerak,49,"['Egyptian', 'Arabic']"
ALasmar Coffee,Madaba,37,"['Arabic', 'Juices']"
Hashem Restaurant,Māḩiş,17,"['Falafel', 'Breakfast']"
Jazar W Batata,Ma‘ān,52,"['Shawarma & Doner', 'Burgers', 'Juices', 'Fried Chicken']"
El Capo,Aţ Ţayyibah,65,"['Burgers', 'Shawarma & Doner', 'Snacks']"
Crepe Secret,Al Maşţabah,52,"['Desserts', 'Crepes and Waffles']"
Sweilem Automatic Bakery,"Abdoun, Amman",56,"['Speciality Store', 'Bread & Bakery']"
Seed,Irbid,23,"['Healthy', 'Snacks', 'Beverages']"
ZINGERON,Aţ Ţayyibah,38,"['Fast Food', 'Snacks', 'Sandwiches ']"
Bait Al Asala Pastries,Shūnat Nimrīn,68,"['Pastries', 'Pizza']"
Zohour Tlaa Al Ali Grills,Dana,80,"['Arabic', 'Grills']"
Konuz,Jerash,72,"['Fried Chicken', 'Shawarma & Doner', 'Burgers']"
Nour Al Hana Pizza,Ash Shumaysānī,17,"['Manaqeesh', 'Pastries', 'Pizza']"
BBQ,Shūnat Nimrīn,43,"['Grills', 'Snacks', 'Burgers']"
Seven Seconds,"Abdoun, Amman",54,"['Shawarma & Doner', 'Jordanian']"
Simit Usta,Wadi Musa,59,"['Pastries', 'Pizza']"
Opticos Litchi,Dana,39,['Speciality Store']
afra central restaurant,Al Ḩayy,57,"['Shawarma & Doner', 'Snacks']"
Zahrat Um Al Somaq Butchery,Irbid,68,"['Speciality Store', 'Fresh Meat & Fish']"
Lord Snacks,Abū al Lasan,75,"['Jordanian', 'Snacks', 'Sandwiches ']"
Good Flavor Restaurant,Umm Uthainah,42,['Arabic']
Noor Restaurant And Coffee,Ash Shūnah ash Shamālīyah,26,"['Arabic', 'Grills', 'Sandwiches ']"
Al Fatira Al Thaeba,Dana,91,"['Breakfast', 'Pastries', 'Pizza']"
Adas w Habshtakanato,Abū al Lasan,89,"['Arabic', 'International']"
Ahmad Restaurant,‘Ayn Amūn,56,"['Arabic', 'Grills', 'Jordanian']"
V60 specialty coffee roasters,Umm Uthainah,37,['Desserts']
Parisian Cake,Al Rama,12,['Cakes and Desserts']
Esquires Coffee,Ţāb Kirā‘,54,['American']
4 Guys,Ajloun,80,"['Grills', 'American', 'Burgers']"
"Al Fawal, Marka",Al Ḩayy,64,"['Breakfast', 'Falafel']"
Saajeyyeh w Seeneyyeh,Madaba,69,"['Arabic', 'Jordanian']"
Planet Donuts zarqa,Ash Shūnah ash Shamālīyah,56,['Desserts']
Shorty's,Al Qasţal,18,"['Healthy', 'Snacks', 'Sandwiches ']"
Bon Shake,Amman,21,"['Juices', 'Beverages']"
AlQadamani Roastery,Abū al Lasan,55,"['Speciality Store', 'Nuts & Dried Fruit']"
Abu Adam Restaurant,Al Azraq ash Shamālī,55,"['Falafel', 'Breakfast']"
Original Bowl,Wadi Musa,10,"['Sushi', 'Asian', 'Healthy', 'Japanese']"
Al Baraka Supermarket,Aqaba,13,"['Grocery ', 'Supermarket']"
Saruja,Abū al Lasan,82,"['Sandwiches ', 'Shawarma & Doner', 'Snacks']"
Cousin Grill,Sowayma,81,"['American', 'Burgers', 'Wings']"
Saraya Abdeen Restaurant,Ash Shūnah ash Shamālīyah,78,['Breakfast']
City Wall For Dates,Al Qasţal,25,"['Speciality Store', 'Nuts & Dried Fruit']"
Viral Jo,Amman,90,"['Desserts', 'Italian']"
Altobasi For Mansaf,Wadi Musa,74,"['Arabic', 'Mandi']"
Abu Ghazaleh Restaurant,Shūnat Nimrīn,78,['American']
Gio's Eatery,Al Maşţabah,63,"['Italian', 'Pasta', 'Pizza']"
Cappado,Ash Shumaysānī,23,"['Burgers', 'Pizza', 'Sandwiches ']"
Fried & Grilled,Abū al Lasan,14,"['Burgers', 'Arabic']"
Delal ALZyzafon,Madaba,30,['Arabic']
Keto magic,Ajloun,32,"['Desserts', 'Healthy', 'Grocery ']"
Smoothie,Kerak,66,"['Crepes and Waffles', 'Desserts', 'Beverages', 'Juices']"
Ciao Ciao Pizza,Umm Uthainah,25,"['Pizza', 'Jordanian', 'Italian']"
Yalange Lolo,Jerash,26,"['Arabic', 'Turkish', 'Jordanian']"
Passion Friuts Cake,Al Kafrayn,16,['Desserts']
Rawabi Farah,Shūnat Nimrīn,43,['Speciality Store']
Rainbow,Ash Shūnah ash Shamālīyah,64,"['Desserts', 'Shawarma & Doner', 'Jordanian']"
Msakhan Way,Al Kafrayn,10,"['Arabic', 'Egyptian', 'Jordanian']"
Rosster,Wadi Rum,52,"['Fast Food', 'Manaqeesh', 'Sandwiches ']"
Zain Taste,Abū al Lasan,50,['Arabic']
Mallah Spices,Al Ḩayy,21,['Speciality Store']
Pizza Vero,Ma‘ān,57,"['Pizza', 'Sandwiches ']"
Al Kharef For Fruit And Vegetable,Wadi Musa,48,"['Speciality Store', 'Fruits & Vegetables']"
Heef & Reef Restaurant,Kerak,37,"['Arabic', 'Fast Food', 'Shawarma & Doner']"
Snack Time,Al Burj,97,"['American', 'Burgers']"
Alhelo Desserts,Irbid,68,"['Desserts', 'Pastries']"
Juice Truck,Al Maşţabah,49,['Juices']
Thai Room,Umm al Kundum,31,['Thai']
Abu Omar Restaurant,Al Ḩayy,18,"['Falafel', 'Sandwiches ']"
Alzein Chicken,Kerak,90,"['Sandwiches ', 'Shawarma & Doner']"
Shaker Market Food supplies,At-Tafilah,69,"['Grocery ', 'Supermarket']"
uncle osaka,Ash Shumaysānī,65,"['Cakes and Desserts', 'Japanese']"
Nairmeen Kitchen,Kerak,50,['Arabic']
Shawerma Al3ila,Umm Qays,84,"['Shawarma & Doner', 'Snacks']"
Pancake And Waffle House,Wadi Musa,79,"['American', 'Breakfast', 'Desserts']"
Abu Rashed Restaurant,‘Ayn Amūn,76,['Arabic']
Osama Wa Fareed Restaurant,Ash Shūnah ash Shamālīyah,92,"['Shawarma & Doner', 'Snacks', 'Sandwiches ', 'Falafel']"
Broasted 3al Tareeq,Kufayrāt Abū Khīnan,75,"['Fried Chicken', 'Sandwiches ']"
Best Broasted,Sowayma,93,"['American', 'Fried Chicken']"
Jameed Chocolate,Ţāb Kirā‘,15,"['Desserts', 'Crepes and Waffles']"
AL Bashawati Sweets,Aqaba,61,"['Arabic', 'Desserts']"
Abd Al-R Affouri Sweet,"Abdoun, Amman",90,['Desserts']
Dr. Koshary,Shūnat Nimrīn,80,['Egyptian']
Azmeer Al Turki,Irbid,32,"['Turkish', 'Shawarma & Doner']"
Shawarma Wa Bass,Kerak,55,['Shawarma & Doner']
Asfoor Fride Chicken,Al Maşţabah,30,"['Fried Chicken', 'Shawarma & Doner', 'Sandwiches ']"
Jayb Al Tajer Sandwiches,‘Ayn Amūn,80,['American']
Shawrma Al Waleed,Al Rama,56,"['Sandwiches ', 'Shawarma & Doner']"
Waffle Nutella,Al Ḩayy,56,"['Crepes and Waffles', 'Desserts']"
Kumpiro,Az Zarqa,65,"['Snacks', 'Turkish']"
Ward & Yasmeen,Wadi Rum,39,['Flowers']
Flamingo Flowers & More,Al Kafrayn,42,['Flowers']
Only Lady,Al Rama,87,['Speciality Store']
Pizza w Moajanat Al Hasna'a,Bayyūḑah,79,"['Pastries', 'Pizza']"
Shadi Flowers,Al Qasţal,25,['Flowers']
Karaz Box,Al Burj,98,"['Arabic', 'Pizza', 'Sandwiches ']"
V60 specialty coffee roasters,Irbid,25,['Desserts']
Rakwat Kanaan Sweets,Ash Shūnah ash Shamālīyah,53,['Desserts']
The Time Burgers,Umm Qays,24,['Burgers']
Ayman Khaleeli Juices,Al Rama,63,"['Juices', 'Beverages']"
Matbakh Sayedat Irbid,Ma‘ān,79,"['Arabic', 'Jordanian']"
Kanari Msakhan & Pastries,Ajloun,70,"['Arabic', 'Pastries', 'Jordanian']"
Chocowawa,Ajloun,79,['Desserts']
"Al Fawal, Abdali",Wadi Rum,57,"['Breakfast', 'Falafel']"
BBR Brisket & Ribs,Umm Uthainah,44,"['Burgers', 'International', 'American']"
Pock it sandwiches & Salads,Al Maşţabah,87,"['Sandwiches ', 'Salads']"
aklat mama,Abū al Lasan,89,['Arabic']
Almond Mini Market,Al Azraq ash Shamālī,98,"['Grocery ', 'Convenience Store']"
Al Matbakh Albaity,Ash Shumaysānī,43,['Arabic']
Snack N' Shake,Wadi Musa,80,"['American', 'Burgers', 'Sandwiches ']"
Fatatri,Māḩiş,15,"['Breakfast', 'Pastries', 'Pizza']"
Motors Cocktail,Aţ Ţayyibah,12,"['Beverages', 'Juices', 'Desserts']"
Bon Khaldon,Aţ Ţayyibah,46,"['Speciality Store', 'Nuts & Dried Fruit']"
Mashawi El Sanabel,Kufayrāt Abū Khīnan,26,"['Arabic', 'Grills', 'Jordanian']"
Sizzling Wox,Amman,80,"['Chinese', 'Sushi']"
Abu Ibrahim Restaurant,Bayyūḑah,43,"['Falafel', 'Breakfast']"
Usta Unsal,Kufayrāt Abū Khīnan,80,"['Seafood', 'Shawarma & Doner', 'Turkish']"
Dalleh & Saj,Madaba,47,"['Fast Food', 'Shawarma & Doner', 'Sandwiches ']"
Mobile House,Dana,83,['Speciality Store']
Tedalal Restaurant,Al Khuraybah,37,"['Snacks', 'Sandwiches ', 'Falafel']"
Trio House,Umm al Kundum,83,"['Burgers', 'Pizza']"
Pizza Plaza,Shūnat Nimrīn,24,"['Pizza', 'Bakery and Cakes', 'Pastries']"
ALBAN W AJBAN AL HAMD WAL SHOKR,Al Burj,45,['Speciality Store']
ELHELOU SNACKS,"Abdoun, Amman",33,"['Seafood', 'Jordanian', 'International']"
Jeet Bwaatak.,Bayyūḑah,45,"['Fried Chicken', 'Shawarma & Doner', 'Sandwiches ']"
Zain Al Mandi,"Abdoun, Amman",92,['Arabic']
Asyad For Kenyan Coffee And Nuts,Al Maşţabah,90,"['Speciality Store', 'Coffee & Tea']"
Lama Alsham Butchery,Shūnat Nimrīn,85,"['Speciality Store', 'Fresh Meat & Fish']"
Aliens Grocery,Madaba,10,"['Grocery ', 'Supermarket']"
Gio's Eatery,‘Ayn Amūn,90,"['Italian', 'Pasta', 'Pizza']"
Tarweea Pizza,At-Tafilah,50,"['Pastries', 'Pizza', 'Snacks']"
What's Beef,Kerak,21,"['Breakfast', 'Burgers', 'Pizza']"
Deek Al Jen Restaurant,Aţ Ţayyibah,97,"['Jordanian', 'Shawarma & Doner']"
Mr.Salta3,Al Kafrayn,96,['Healthy']
Enas Sweets,Al Khuraybah,66,['Desserts']
AG Restaurant,Ad Dimnah,41,"['Shawarma & Doner', 'Snacks', 'Sandwiches ']"
Al Nwaijees Palace,Al Azraq ash Shamālī,45,"['Arabic', 'Grills', 'Mandi']"
Humat Al Diyar Pastry,Wadi Rum,42,"['Manaqeesh', 'Pastries', 'Pizza']"
Food Lovers,Al Rama,91,"['Desserts', 'Crepes and Waffles']"
500 Restaurant,Ţāb Kirā‘,70,"['Fried Chicken', 'Shawarma & Doner', 'Snacks']"
Chess Pastries,Al Burj,13,"['Arabic', 'Breakfast', 'Pastries']"
Ahmad Restaurant,Az Zarqa,72,"['Arabic', 'Grills', 'Jordanian']"
Snack House,Aqaba,42,"['Sandwiches ', 'Burgers', 'Fast Food']"
"mujahed Arabic ice cream, Yasmin",Ma‘ān,60,"['Ice Cream', 'Desserts']"
Gift`s Corner,Al Burj,91,['Speciality Store']
Knafet Al Madina,Bayyūḑah,87,"['Desserts', 'Arabic']"
Barcelos,Umm al Kundum,41,"['International', 'Sandwiches ', 'Healthy']"
Al Rashed Restaurant,Al Rama,88,"['Falafel', 'Sandwiches ', 'Arabic']"
ID Mobile,Al Azraq ash Shamālī,36,['Speciality Store']
One,Ad Dimnah,69,"['Beverages', 'Salads', 'Sandwiches ']"
Afandina Shawarma,Ad Dimnah,16,['Shawarma & Doner']
Athina Sweets,Kerak,18,['Desserts']
Turkey Restaurant,Aţ Ţayyibah,20,"['Arabic', 'Grills', 'Sandwiches ']"
Pizza w Fatayer Baseet,Jerash,59,"['Pastries', 'Pizza']"
Fries.jo,Ajloun,75,"['Snacks', 'American', 'Fast Food']"
Tatbileh,Madaba,91,"['Shawarma & Doner', 'Snacks']"
Green Fields Oil Factory,Aţ Ţayyibah,30,['Speciality Store']
Smiles,Kufayrāt Abū Khīnan,14,"['Grocery ', 'Convenience Store']"
Shawerma Juicy,Al Burj,22,['Shawarma & Doner']
Toof O Shoof,Ţāb Kirā‘,44,"['Pastries', 'Pizza', 'Beverages']"
Kiraz Cafe,Kufayrāt Abū Khīnan,94,"['Beverages', 'Crepes and Waffles', 'Desserts']"
Falafel Jabal Al Laymoon,Al Azraq ash Shamālī,47,"['Breakfast', 'Falafel', 'Jordanian']"
Eatza Pizza,Ad Dimnah,95,"['Pizza', 'Salads', 'Desserts', 'Italian']"
afra central restaurant,Sowayma,100,"['Shawarma & Doner', 'Snacks']"
Al katkout,Kufayrāt Abū Khīnan,64,"['Arabic', 'Breakfast', 'Falafel']"
Al Showkie Roastary,Shūnat Nimrīn,57,"['Speciality Store', 'Nuts & Dried Fruit']"
Al Hamadani,Ash Shumaysānī,18,"['Arabic', 'Desserts', 'Jordanian']"
albawadi bakery,Irbid,98,"['Speciality Store', 'Bread & Bakery']"
Bang Snack,Sowayma,45,"['Burgers', 'Shawarma & Doner', 'Sandwiches ']"
Abu Saleh,Madaba,85,['Beverages']
Halabnge Zaman,Al Burj,49,"['Crepes and Waffles', 'Desserts']"
Falafel Station,Madaba,82,"['Arabic', 'Falafel', 'Fast Food']"
Dodo,Kerak,33,"['Arabic', 'Falafel', 'Sandwiches ']"
Rawaat Al Barakah For Fool And Tamees,Umm Qays,39,"['Arabic', 'Breakfast']"
Pizza Moaajnat Al Zaman Al Jameel,Al Khuraybah,89,"['Pizza', 'Breakfast']"
Khatab Mobile,Al Rama,60,['Speciality Store']
Sade Cafe,Wadi Musa,10,"['Burgers', 'Salads', 'Sandwiches ']"
haimor mobile,At-Tafilah,77,['Speciality Store']
Arzet Beirut,Umm Uthainah,82,"['Arabic', 'Pastries']"
Denes,Ţāb Kirā‘,23,"['Speciality Store', 'Fresh Meat & Fish']"
Al Mohandes Vegetables,At-Tafilah,87,"['Speciality Store', 'Fruits & Vegetables']"
Hommies,Al Ḩayy,31,"['Shawarma & Doner', 'Sandwiches ']"
Aqbawi Ya Khal,Amman,62,"['Seafood', 'Arabic', 'Healthy']"
Manqoushet Baladna,Sowayma,95,"['Italian', 'Pizza', 'Snacks']"
Crepella,Kufayrāt Abū Khīnan,45,"['Crepes and Waffles', 'Desserts', 'Ice Cream']"
Jebal Al Tanour,"Abdoun, Amman",49,"['Pastries', 'Pizza', 'Breakfast']"
Etlalet Abdoun,Ash Shūnah ash Shamālīyah,15,"['Pastries', 'Pizza', 'Sandwiches ']"
Bee Snack Fuhais,At-Tafilah,12,"['Burgers', 'Hot Dogs', 'Snacks', 'Sandwiches ', 'Wings']"
Stay Home Supermarket,Al Ḩayy,66,"['Grocery ', 'Supermarket']"
Fume Coffee House,Irbid,30,"['Beverages', 'Juices']"
Mango & Strawberry,Ash Shūnah ash Shamālīyah,67,"['Juices', 'Snacks', 'Sandwiches ']"
One Market,Al Ḩayy,27,"['Grocery ', 'Supermarket']"
Fluffy Waffle,Madaba,51,['Crepes and Waffles']
Aswaq Albasel,Al Qasţal,50,"['Grocery ', 'Supermarket']"
Nidal Al Kalha,Aţ Ţayyibah,70,['Falafel']
Zalloum Spices,Shūnat Nimrīn,83,"['Speciality Store', 'Nuts & Dried Fruit']"
99 Ninety Nine,Ash Shūnah ash Shamālīyah,63,"['Burgers', 'Fast Food', 'Snacks']"
Sohoul Al Baqoura Al Shaabi For Vegetables And Fruits,Al Azraq ash Shamālī,79,"['Speciality Store', 'Fruits & Vegetables']"
Al Ahlam Flowers,Umm al Kundum,43,['Flowers']
Crepson,Umm al Kundum,57,"['Desserts', 'Crepes and Waffles']"
Thalati,Ash Shumaysānī,58,['Arabic']
Al Iskandarani,Sowayma,36,"['Arabic', 'Beverages', 'Egyptian']"
Elin Pasta,At-Tafilah,75,['Italian']
Abu Akram autostrad,Ash Shumaysānī,27,"['Arabic', 'Breakfast', 'Sandwiches ']"
Wahet Al Madina Roastery,Māḩiş,88,"['Speciality Store', 'Nuts & Dried Fruit']"
Telal Alnor,Ajloun,21,"['Speciality Store', 'Nuts & Dried Fruit']"
Abraj Al Abdali,Umm Qays,34,"['Arabic', 'Yemeni', 'Mandi']"
ID Mobile,‘Ayn Amūn,22,['Speciality Store']
Bidfood,Al Maşţabah,75,"['Grocery ', 'Supermarket']"
Zingriez Shawarma Saj,Kerak,56,"['Arabic', 'Shawarma & Doner', 'Sandwiches ', 'Jordanian']"
The PitMaster Smoke House,Ash Shumaysānī,70,"['American', 'Burgers', 'International']"
TAL Al Rawdah Kitchen,Al Ḩayy,81,['Arabic']
BarBar Sweets,Bayyūḑah,67,"['Desserts', 'Turkish', 'Jordanian']"
Just Shawarma,Aqaba,68,"['Shawarma & Doner', 'Sandwiches ', 'Jordanian']"
Arabi Elqadem Restaurant,Ma‘ān,95,"['Arabic', 'Breakfast', 'Sandwiches ']"
Ghassan Supermarket,Kerak,99,"['Grocery ', 'Supermarket']"
Al Shaeb Roasteries,Ajloun,66,"['Speciality Store', 'Nuts & Dried Fruit']"
Mela Sweets,‘Ayn Amūn,46,"['Desserts', 'Arabic']"
The Leprechaun Restaurant And Pub,Ajloun,50,"['Desserts', 'Jordanian']"
Saba Al Sham Sweets,Al Qasţal,62,"['Arabic', 'Desserts']"
TomYum,Aţ Ţayyibah,49,"['Asian', 'Chinese', 'Sushi']"
Kebdeh W Shata Spicy Chicken Liver,Aqaba,41,"['Jordanian', 'Arabic', 'Fast Food']"
Sweet Corner,Al Maşţabah,53,['Desserts']
U.S. Eagle,Al Khuraybah,46,"['American', 'Burgers']"
Msakhan Way,Al Ḩayy,97,"['Arabic', 'Egyptian', 'Jordanian']"
Balqees Al Yaman,Aţ Ţayyibah,37,"['Arabic', 'Mandi']"
Sushi Corner,Al Burj,15,['Japanese']
